1,,,,,,1,6,1,2,3,4,5,6,7,8,9,10,11,12
2,,,,,,2,5,2,3,4,5,6,7,8,9,10,11,12,13
3,,,,,,3,4,3,4,5,6,7,8,9,10,11,12,13,14
4,,,,,,4,3,4,5,6,7,8,9,10,11,12,13,14,15
5,1,2,3,4,5,5,2,5,6,7,8,9,10,11,12,13,14,15,16
6,2,,,,6,6,1,6,7,8,9,10,11,12,13,14,15,16,17
7,3,,,,7,7,,7,8,9,10,11,12,13,14,15,16,17,18
8,4,,,,8,8,1,8,9,10,11,12,13,14,15,16,17,18,19
9,5,,,,9,9,2,9,10,11,12,13,14,15,16,17,18,19,20
10,6,,,,10,10,3,10,11,12,13,14,15,16,17,18,19,20,21
11,7,8,9,10,11,11,4,11,12,13,14,15,16,17,18,19,20,21,22
12,,,,,,12,5,12,13,14,15,16,17,18,19,20,21,22,23
